Name,Strength1,Strength2,Strength3,Strength4,Strength5
AA,Adaptability,Empathy,Intellection,Maximizer,Relator
AB,Achiever,Competition,Deliberative,Intellection,Learner
AC,Analytical,Input,Learner,Relator,Restorative
AD,Analytical,Intellection,Learner,Relator,Strategic
AE,Activator,Ideation,Learner,Maximizer,Responsibility
AF,Ideation,Input,Intellection,Learner,Strategic
AG,Adaptability,Belief,Context,Intellection,Relator
AH,Adaptability,Arranger,Context,Deliberative,Responsibility
AI,Adaptability,Empathy,Harmony,Includer,Relator
AJ,Achiever,Empathy,Intellection,Learner,Maximizer
AK,Adaptability,Communication,Includer,Relator,Strategic
AL,Achiever,Ideation,Intellection,Learner,Relator
AM,Ideation,Input,Intellection,Learner,Strategic
AN,Achiever,Adaptability,Input,Learner,Relator
AO,Command,Futuristic,Ideation,Input,Strategic
AP,Achiever,Command,Competition,Individualization,Self-Assurance
AQ,Adaptability,Consistency,Focus,Learner,Restorative
AR,Activator,Communication,Futuristic,Maximizer,Woo
AS,Adaptability,Communication,Connectedness,Empathy,Input
AT,Arranger,Futuristic,Individualization,Relator,Responsibility
AU,Achiever,Intellection,Learner,Relator,Strategic
AV,Connectedness,Developer,Individualization,Strategic,Woo
AW,Achiever,Input,Intellection,Learner,Relator
AX,Achiever,Consistency,Discipline,Individualization,Restorative
AY,Activator,Communication,Maximizer,Positivity,Relator
AZ,Achiever,Activator,Belief,Competition,Restorative
BA,Input,Maximizer,Positivity,Relator,Strategic
BB,Adaptability,Empathy,Harmony,Responsibility,Restorative
BC,Achiever,Belief,Learner,Responsibility,Self-Assurance
BD,Connectedness,Harmony,Individualization,Positivity,Restorative
